Метка;Группа;Цвет;Размер;Материал;Утеплитель;Подкладка;Силуэт;Длина изделия;Рукав;Длина рукава;Застежка;Капюшон;Воротник;Пояс;Карманы;Кокетка;Уход
Мужские пальто 54 размера;Мужские пальто;;54;;;;;;;;;;;;;;
Женские плащи 36 размера;Женские Плащи;;36;;;;;;;;;;;;;;
Женские плащи 38 размера;Женские Плащи;;38;;;;;;;;;;;;;;
Женские плащи 40 размера;Женские Плащи;;40;;;;;;;;;;;;;;
Женские плащи 42 размера;Женские Плащи;;42;;;;;;;;;;;;;;
Женские плащи 44 размера;Женские Плащи;;44;;;;;;;;;;;;;;
Женские плащи 46 размера;Женские Плащи;;46;;;;;;;;;;;;;;
Женские плащи 48 размера;Женские Плащи;;48;;;;;;;;;;;;;;
Женские плащи 50 размера;Женские Плащи;;50;;;;;;;;;;;;;;
Женские плащи 52 размера;Женские Плащи;;52;;;;;;;;;;;;;;
Женские плащи 54 размера;Женские Плащи;;54;;;;;;;;;;;;;;
Шерстяные женские пальто;Женские пальто;;;;;;;;;;;;;;;;
Драповые женские пальто;Женские пальто;;;;;;;;;;;;;;;;
Шерстяные мужские пальто;Мужские пальто;;;;;;;;;;;;;;;;
Драповые мужские пальто;Мужские пальто;;;;;;;;;;;;;;;;
Женские плащи тренч;Женские плащи;;;;;;;;;;;;;;;;
Хлопковые женские плащи;Женские плащи;;;;;;;;;;;;;;;;
Зимние женские пальто;Женские пальто;;;;-Нет;;;;;;;;;;;;
Утепленные женские пальто;Женские пальто;;;;-Нет;;;;;;;;;;;;
Демисезонные женские пальто;Женские пальто;;;;Нет;;;;;;;;;;;;
Осенние женские пальто;Женские пальто;;;;Нет;;;;;;;;;;;;
Весенние женские пальто;Женские пальто;;;;Нет;;;;;;;;;;;;
Зимние мужские пальто;Мужские пальто;;;;-Нет;;;;;;;;;;;;
Утепленные мужские пальто;Мужские пальто;;;;-Нет;;;;;;;;;;;;
Демисезонные мужские пальто;Мужские пальто;;;;Нет;;;;;;;;;;;;
Осенние мужские пальто;Мужские пальто;;;;Нет;;;;;;;;;;;;
Весенние мужские пальто;Мужские пальто;;;;Нет;;;;;;;;;;;;
Зимние женские плащи;Женские плащи;;;;-Нет;;;;;;;;;;;;
Утепленные женские плащи;Женские плащи;;;;-Нет;;;;;;;;;;;;
Демисезонные женские плащи;Женские плащи;;;;Нет;;;;;;;;;;;;
